省内频道,#genre#
安徽影视,http://zbbf2.ahtv.cn/live/756.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2F756&_redcdnuserid=6968296524635693889
经济生活,http://zbbf2.ahtv.cn/live/750.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2F750&_redcdnuserid=6968298371471647328
中国交通,http://tv.lanjingfm.com/cctbn/anhui.m3u8
安徽公共,http://zbbf2.ahtv.cn/live/752.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2F752&_redcdnuserid=6968295712886867265
安徽综艺,http://zbbf2.ahtv.cn/live/758.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2F758&_redcdnuserid=6968297267665042641
安徽科教,http://zbbf2.ahtv.cn/live/754.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2F754&_redcdnuserid=6968298599104916001
安徽人物,http://live5.ahtv.cn/rwpd1/playlist.m3u8?_upt=5cd40e5e1615462747#http://zbbf2.ahtv.cn/live/da9.m3u8#http://zbbf2.ahtv.cn/live/subfile/submain.m3u8?__hlslivecid=live%2fda9&_redcdnuserid=6968298904071281201
安徽国际,http://live5.ahtv.cn/ahgj1/playlist.m3u8?_upt=2306956e1615462762#http://live5.ahtv.cn/ahgj1/playlist.m3u8?_upt=703d072b1622442478#http://live5.ahtv.cn/ahgj1/hd/live.m3u8?_upt=a0e431291622442562
芜湖新闻,http://live1.wuhubtv.com/channel1/sd/live.m3u8
芜湖生活,http://live1.wuhubtv.com/channel2/sd/live.m3u8
芜湖公共,http://live1.wuhubtv.com/channel3/sd/live.m3u8
芜湖教育,http://live1.wuhubtv.com/channel4/sd/live.m3u8
阜南新闻,http://112.27.139.242:8278/fnxwzhd/playlist.m3u8
蒙城新闻,http://live.plus.ahmctv.net/channel2/sd/live.m3u8
宿州新闻,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
宿州公共,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
长丰综合,http://218.23.114.19:1935/live/xinwen/playlist.m3u8#http://218.23.114.19:1935/live/xinwen/chunklist_w580870315.m3u8
东至综合,http://223.247.33.124:1935/live/zonghe/playlist.m3u8#http://223.247.33.124:1935/live/zonghe/chunklist_w2009412353.m3u8
六安新闻,http://live.china-latv.com/channel1/sd/live.m3u8
六安公共,http://live.china-latv.com/channel2/sd/live.m3u8
铜陵新闻,http://dstpush1.retalltech.com/app/stream1.m3u8
铜陵公共,http://dstpush1.retalltech.com/app/stream2.m3u8
铜陵科教,http://dstpush1.retalltech.com/app/stream3.m3u8
桐城新闻,http://35979.hlsplay.aodianyun.com/tv_radio_35979/tv_channel_545.m3u8
安庆新闻,http://220.179.7.220:1935/live/_definst_/xwzh/playlist.m3u8
安庆教育,https://hwapi.yunshicloud.com/0spq8i/r04v8s.m3u8
安庆公共,https://hwapi.yunshicloud.com/0spq8i/72wt2h.m3u8#http://220.179.7.220:1935/live/_definst_/ggpd/playlist.m3u8
濉溪电视1,https://hwapi.yunshicloud.com/m87oxo/251011.m3u8
